Province,Capital,Area,Population,PreviousName,TimeZone
Kinshasa,Kinshasa,9965,11575000,Kinshasa[1],UTC+1
Kongo Central,Matadi,53929,5575000,Bas-Congo[1],UTC+1
Kwango,Kenge,89974,1994036,Bandundu,UTC+1
Kwilu,Kikwit,78219,5174718,Bandundu,UTC+1
Mai-Ndombe,Inongo,127465,1768327,Bandundu,UTC+1
Kasaï,Luebo,95631,3199891,Kasaï-Occidental,UTC+2
Kasaï-Central,Kananga,59111,2976806,Kasaï-Occidental,UTC+2
Kasaï-Oriental,Mbuji-Mayi,9481,2702430,Kasaï-Oriental,UTC+2
Lomami,Kabinda,56010,2048839,Kasaï-Oriental,UTC+2
Sankuru,Lusambo,105000,1374239,Kasaï-Oriental,UTC+2
Maniema,Kindu,132520,2333000,Maniema[1],UTC+2
South Kivu,Bukavu,65070,5772000,South Kivu[1],UTC+2
North Kivu,Goma,59483,6655000,North Kivu[1],UTC+2
Ituri,Bunia,65658,4241236,Orientale,UTC+2
Haut-Uele,Isiro,89683,1920867,Orientale,UTC+2
Tshopo,Kisangani,199567,2614630,Orientale,UTC+2
Bas-Uele,Buta,148331,1093845,Orientale,UTC+2
Nord-Ubangi,Gbadolite,56644,1482076,Équateur,UTC+1
Mongala,Lisala,58141,1793564,Équateur,UTC+1
Sud-Ubangi,Gemena,51648,2744345,Équateur,UTC+1
Équateur,Mbandaka,103902,1626606,Équateur,UTC+1
Tshuapa,Boende,132940,1316855,Équateur,UTC+1
Tanganyika,Kalemie,134940,2482001,Katanga,UTC+2
Haut-Lomami,Kamina,108204,2540127,Katanga,UTC+2
Lualaba,Kolwezi,121308,1677288,Katanga,UTC+2
Haut-Katanga,Lubumbashi,132425,3960945,Katanga,UTC+2
